TournamentName,TeamA,TeamAScore,TeamB,TeamBScore,ground,city,date,overs,Round,GameResult,gameLink
LPS Bossard presents G P L 5,Screaming Eagles,196/1,SSB Stars,75/3,old ITI Ground, Rohtak, 24-Dec-21, 7 Ov.,ROUND TWO,Screaming Eagles won by 121 runs,https://cricheroes.in/scorecard/2691559/LPS-Bossard-presents-G-P-L-5/Screaming-Eagles-vs-SSB-Stars
LPS Bossard presents G P L 5,Rohtak Devils,27/6,KKR,29/1,old ITI Ground, Rohtak, 24-Dec-21, 7 Ov.,ROUND ONE,KKR won by 5 wickets,https://cricheroes.in/scorecard/2691528/LPS-Bossard-presents-G-P-L-5/Rohtak-Devils-vs-KKR
LPS Bossard presents G P L 5,7 Star,56/6,Rohtak Fighter,58/4,old ITI Ground, Rohtak, 24-Dec-21, 7 Ov.,ROUND ONE,Rohtak Fighter won by 2 wickets,https://cricheroes.in/scorecard/2691524/LPS-Bossard-presents-G-P-L-5/7-Star-vs-Rohtak-Fighter
LPS Bossard presents G P L 5,Devil King Gpl,133/4,Sunariya Tigers,62/5,old ITI Ground, Rohtak, 24-Dec-21, 7 Ov.,ROUND ONE,Devil King Gpl won by 71 runs,https://cricheroes.in/scorecard/2691466/LPS-Bossard-presents-G-P-L-5/Devil-King-Gpl-vs-Sunariya-Tigers
LPS Bossard presents G P L 5,Scorpio Seven,88/6,Mansarover Lions,56/6,old ITI Ground, Rohtak, 24-Dec-21, 7 Ov.,ROUND ONE,Scorpio Seven won by 32 runs,https://cricheroes.in/scorecard/2689311/LPS-Bossard-presents-G-P-L-5/Scorpio-Seven-vs-Mansarover-Lions
LPS Bossard presents G P L 5,HR 12 Club GPL,142/2,Super Strikers GPL,66/6,old ITI Ground, Rohtak, 24-Dec-21, 7 Ov.,ROUND ONE,HR 12 Club GPL won by 76 runs,https://cricheroes.in/scorecard/2686142/LPS-Bossard-presents-G-P-L-5/HR-12-Club-GPL-vs-Super-Strikers-GPL
LPS Bossard presents G P L 5,7 Strikers,136/6,middle Stump gpl,86/4,old ITI Ground, Rohtak, 23-Dec-21, 7 Ov.,ROUND ONE,7 Strikers won by 50 runs,https://cricheroes.in/scorecard/2683203/LPS-Bossard-presents-G-P-L-5/7-Strikers-vs-middle-Stump-gpl
LPS Bossard presents G P L 5,Real Fighters GPL,127/2,Titans,122/3,old ITI Ground, Rohtak, 23-Dec-21, 7 Ov.,ROUND ONE,Real Fighters GPL won by 5 runs,https://cricheroes.in/scorecard/2683194/LPS-Bossard-presents-G-P-L-5/Real-Fighters-GPL-vs-Titans
LPS Bossard presents G P L 5,Winners 11 GPL,57/6,Shori Market,67/1,old ITI Ground, Rohtak, 23-Dec-21, 7 Ov.,ROUND ONE,Shori Market won by 5 wickets,https://cricheroes.in/scorecard/2683197/LPS-Bossard-presents-G-P-L-5/Winners-11-GPL-vs-Shori-Market
LPS Bossard presents G P L 5,I Toppers Institute GPL,104/4,Stars 11 GPL,55/6,old ITI Ground, Rohtak, 23-Dec-21, 7 Ov.,ROUND ONE,I Toppers Institute GPL won by 49 runs,https://cricheroes.in/scorecard/2683198/LPS-Bossard-presents-G-P-L-5/I-Toppers-Institute-GPL-vs-Stars-11-GPL
LPS Bossard presents G P L 5,Jolly Cricketers GPL,73/5,Rohtak Spartans,74/2,old ITI Ground, Rohtak, 23-Dec-21, 7 Ov.,ROUND ONE,Rohtak Spartans won by 4 wickets,https://cricheroes.in/scorecard/2683491/LPS-Bossard-presents-G-P-L-5/Jolly-Cricketers-GPL-vs-Rohtak-Spartans
LPS Bossard presents G P L 5,Star Club,46/6,Ronnit 7,47/3,old ITI Ground, Rohtak, 23-Dec-21, 7 Ov.,ROUND ONE,Ronnit 7 won by 3 wickets,https://cricheroes.in/scorecard/2683210/LPS-Bossard-presents-G-P-L-5/Star-Club-vs-Ronnit-7
LPS Bossard presents G P L 5,Royal Challengers GPL,39/6,Nitin Warriors GPL,42/1,old ITI Ground, Rohtak, 23-Dec-21, 7 Ov.,ROUND ONE,Nitin Warriors GPL won by 5 wickets,https://cricheroes.in/scorecard/2683191/LPS-Bossard-presents-G-P-L-5/Royal-Challengers-GPL-vs-Nitin-Warriors-GPL
LPS Bossard presents G P L 5,Champions Cricket Club,28/6,Super Strikers 7,34/1,old ITI Ground, Rohtak, 22-Dec-21, 7 Ov.,ROUND ONE,Super Strikers 7 won by 6 wickets,https://cricheroes.in/scorecard/2680154/LPS-Bossard-presents-G-P-L-5/Champions-Cricket-Club-vs-Super-Strikers-7
LPS Bossard presents G P L 5,Rohtak Super Jaints,76/6,Red Caps,65/6,old ITI Ground, Rohtak, 22-Dec-21, 7 Ov.,ROUND ONE,Rohtak Super Jaints won by 11 runs,https://cricheroes.in/scorecard/2680151/LPS-Bossard-presents-G-P-L-5/Rohtak-Super-Jaints-vs-Red-Caps
LPS Bossard presents G P L 5,The Soul Spartans,7-Nov,7 Spartans,17/0,old ITI Ground, Rohtak, 22-Dec-21, 7 Ov.,ROUND ONE,7 Spartans won by 6 wickets,https://cricheroes.in/scorecard/2679965/LPS-Bossard-presents-G-P-L-5/The-Soul-Spartans-vs-7-Spartans
LPS Bossard presents G P L 5,Hustlers,54/6,SSB Stars,55/5,old ITI Ground, Rohtak, 22-Dec-21, 7 Ov.,ROUND ONE,SSB Stars won by 1 wicket,https://cricheroes.in/scorecard/2679844/LPS-Bossard-presents-G-P-L-5/Hustlers-vs-SSB-Stars
LPS Bossard presents G P L 5,Black Panthers,91/4,Divine Fighters,68/6,old ITI Ground, Rohtak, 22-Dec-21, 7 Ov.,ROUND ONE,Black Panthers won by 23 runs,https://cricheroes.in/scorecard/2678616/LPS-Bossard-presents-G-P-L-5/Black-Panthers-vs-Divine-Fighters
LPS Bossard presents G P L 5,Screaming Eagles,204/2,R R Warriors,60/4,old ITI Ground, Rohtak, 22-Dec-21, 7 Ov.,ROUND ONE,Screaming Eagles won by 144 runs,https://cricheroes.in/scorecard/2678570/LPS-Bossard-presents-G-P-L-5/Screaming-Eagles-vs-R-R-Warriors
Bandaru Premier League,J J Friends Adenja,21/4,Sahara Friends Padmunja,4-Jul,Bandaru, Mangalore, 26-Dec-21, 2 Ov.,FINAL,J J Friends Adenja won by 14 runs,https://cricheroes.in/scorecard/2713133/Bandaru-Premier-League/J-J-Friends-Adenja-vs-Sahara-Friends-Padmunja
Bandaru Premier League,J J Friends Adenja,26/4,Eleven Friends Ilanthila,14/7,Bandaru, Mangalore, 26-Dec-21, 3 Ov.,QUALIFIER 2,J J Friends Adenja won by 12 runs,https://cricheroes.in/scorecard/2712927/Bandaru-Premier-League/J-J-Friends-Adenja-vs-Eleven-Friends-Ilanthila
Bandaru Premier League,Jai Shree Ram Friends Club Aleki,15/5,Eleven Friends Ilanthila,18/1,Bandaru, Mangalore, 26-Dec-21, 3 Ov.,ELIMINATOR,Eleven Friends Ilanthila won by 9 wickets,https://cricheroes.in/scorecard/2712314/Bandaru-Premier-League/Jai-Shree-Ram-Friends-Club-Aleki-vs-Eleven-Friends-Ilanthila
Bandaru Premier League,Sahara Friends Padmunja,27/3,J J Friends Adenja,23/3,Bandaru, Mangalore, 26-Dec-21, 3 Ov.,QUALIFIER 1,Sahara Friends Padmunja won by 4 runs,https://cricheroes.in/scorecard/2712297/Bandaru-Premier-League/Sahara-Friends-Padmunja-vs-J-J-Friends-Adenja
Bandaru Premier League,J J Friends Adenja,45/4,Panchajanya Panjala,23/8,Bandaru, Mangalore, 26-Dec-21, 3 Ov.,LEAGUE MATCHES,J J Friends Adenja won by 22 runs,https://cricheroes.in/scorecard/2524175/Bandaru-Premier-League/J-J-Friends-Adenja-vs-Panchajanya-Panjala
Bandaru Premier League,Jai Shree Ram Friends Club Aleki,30/3,K P P Friends Bajila,15/2,Bandaru, Mangalore, 26-Dec-21, 3 Ov.,LEAGUE MATCHES,Jai Shree Ram Friends Club Aleki won by 15 runs,https://cricheroes.in/scorecard/2524170/Bandaru-Premier-League/Jai-Shree-Ram-Friends-Club-Aleki-vs-K-P-P-Friends-Bajila
Bandaru Premier League,BFC Bandaru,4-Dec,Sahara Friends Padmunja,13/4,Bandaru, Mangalore, 26-Dec-21, 3 Ov.,LEAGUE MATCHES,Sahara Friends Padmunja won by 6 wickets,https://cricheroes.in/scorecard/2524167/Bandaru-Premier-League/BFC-Bandaru-vs-Sahara-Friends-Padmunja
Bandaru Premier League,BFC Panekallu Bandaru,34/5,Hindustan Friends Elanthila,29/5,Bandaru, Mangalore, 26-Dec-21, 3 Ov.,LEAGUE MATCHES,BFC Panekallu Bandaru won by 5 runs,https://cricheroes.in/scorecard/2524163/Bandaru-Premier-League/BFC-Panekallu-Bandaru-vs-Hindustan-Friends-Elanthila
Bandaru Premier League,J J Friends Adenja,48/3,Jai Shree Ram Friends Club Aleki,33/3,Bandaru, Mangalore, 26-Dec-21, 4 Ov.,LEAGUE MATCHES,J J Friends Adenja won by 15 runs,https://cricheroes.in/scorecard/2524161/Bandaru-Premier-League/J-J-Friends-Adenja-vs-Jai-Shree-Ram-Friends-Club-Aleki
Bandaru Premier League,K P P Friends Bajila,22/4,Sahara Friends Padmunja,24/0,Bandaru, Mangalore, 26-Dec-21, 4 Ov.,LEAGUE MATCHES,Sahara Friends Padmunja won by 10 wickets,https://cricheroes.in/scorecard/2524156/Bandaru-Premier-League/K-P-P-Friends-Bajila-vs-Sahara-Friends-Padmunja
Bandaru Premier League,BFC Bandaru,48/3,Panchajanya Panjala,14/5,Bandaru, Mangalore, 26-Dec-21, 4 Ov.,LEAGUE MATCHES,BFC Bandaru won by 34 runs,https://cricheroes.in/scorecard/2524153/Bandaru-Premier-League/BFC-Bandaru-vs-Panchajanya-Panjala
Bandaru Premier League,Sahara Friends Padmunja,37/4,Hindustan Friends Elanthila,27/8,Bandaru, Mangalore, 26-Dec-21, 4 Ov.,LEAGUE MATCHES,Sahara Friends Padmunja won by 10 runs,https://cricheroes.in/scorecard/2524152/Bandaru-Premier-League/Sahara-Friends-Padmunja-vs-Hindustan-Friends-Elanthila
Bandaru Premier League,J J Friends Adenja,62/1,BFC Panekallu Bandaru,34/2,Bandaru, Mangalore, 26-Dec-21, 4 Ov.,LEAGUE MATCHES,J J Friends Adenja won by 28 runs,https://cricheroes.in/scorecard/2524127/Bandaru-Premier-League/J-J-Friends-Adenja-vs-BFC-Panekallu-Bandaru
Bandaru Premier League,Panchajanya Panjala,22/4,K P P Friends Bajila,23/2,Bandaru, Mangalore, 26-Dec-21, 4 Ov.,LEAGUE MATCHES,K P P Friends Bajila won by 8 wickets,https://cricheroes.in/scorecard/2524115/Bandaru-Premier-League/Panchajanya-Panjala-vs-K-P-P-Friends-Bajila
Bandaru Premier League,BFC Panekallu Bandaru,40/4,BFC Bandaru,37/4,Bandaru, Mangalore, 26-Dec-21, 4 Ov.,LEAGUE MATCHES,BFC Panekallu Bandaru won by 3 runs,https://cricheroes.in/scorecard/2524105/Bandaru-Premier-League/BFC-Panekallu-Bandaru-vs-BFC-Bandaru
Bandaru Premier League,Hindustan Friends Elanthila,30/6,Jai Shree Ram Friends Club Aleki,31/3,Bandaru, Mangalore, 26-Dec-21, 4 Ov.,LEAGUE MATCHES,Jai Shree Ram Friends Club Aleki won by 7 wickets,https://cricheroes.in/scorecard/2524100/Bandaru-Premier-League/Hindustan-Friends-Elanthila-vs-Jai-Shree-Ram-Friends-Club-Aleki
Bandaru Premier League,Sahara Friends Padmunja,34/6,J J Friends Adenja,36/0,Bandaru, Mangalore, 26-Dec-21, 4 Ov.,LEAGUE MATCHES,J J Friends Adenja won by 10 wickets,https://cricheroes.in/scorecard/2524058/Bandaru-Premier-League/Sahara-Friends-Padmunja-vs-J-J-Friends-Adenja
Bandaru Premier League,K P P Friends Bajila,27/8,BFC Panekallu Bandaru,28/0,Bandaru, Mangalore, 26-Dec-21, 4 Ov.,LEAGUE MATCHES,BFC Panekallu Bandaru won by 10 wickets,https://cricheroes.in/scorecard/2524053/Bandaru-Premier-League/K-P-P-Friends-Bajila-vs-BFC-Panekallu-Bandaru
Bandaru Premier League,Jai Shree Ram Friends Club Aleki,25/4,BFC Bandaru,26/1,Bandaru, Mangalore, 25-Dec-21, 4 Ov.,LEAGUE MATCHES,BFC Bandaru won by 9 wickets,https://cricheroes.in/scorecard/2524047/Bandaru-Premier-League/Jai-Shree-Ram-Friends-Club-Aleki-vs-BFC-Bandaru
Bandaru Premier League,Hindustan Friends Elanthila,30/4,Panchajanya Panjala,7-Nov,Bandaru, Mangalore, 25-Dec-21, 4 Ov.,LEAGUE MATCHES,Hindustan Friends Elanthila won by 19 runs,https://cricheroes.in/scorecard/2524043/Bandaru-Premier-League/Hindustan-Friends-Elanthila-vs-Panchajanya-Panjala
Bandaru Premier League,BFC Panekallu Bandaru,29/6,Jai Shree Ram Friends Club Aleki,32/2,Bandaru, Mangalore, 25-Dec-21, 4 Ov.,LEAGUE MATCHES,Jai Shree Ram Friends Club Aleki won by 8 wickets,https://cricheroes.in/scorecard/2523980/Bandaru-Premier-League/BFC-Panekallu-Bandaru-vs-Jai-Shree-Ram-Friends-Club-Aleki
Bandaru Premier League,Panchajanya Panjala,16/10,Sahara Friends Padmunja,17/2,Bandaru, Mangalore, 25-Dec-21, 4 Ov.,LEAGUE MATCHES,Sahara Friends Padmunja won by 8 wickets,https://cricheroes.in/scorecard/2523979/Bandaru-Premier-League/Panchajanya-Panjala-vs-Sahara-Friends-Padmunja
Bandaru Premier League,K P P Friends Bajila,20/7,BFC Bandaru,24/4,Bandaru, Mangalore, 25-Dec-21, 4 Ov.,LEAGUE MATCHES,BFC Bandaru won by 6 wickets,https://cricheroes.in/scorecard/2523975/Bandaru-Premier-League/K-P-P-Friends-Bajila-vs-BFC-Bandaru
Bandaru Premier League,J J Friends Adenja,22/7,Hindustan Friends Elanthila,24/2,Bandaru, Mangalore, 25-Dec-21, 4 Ov.,LEAGUE MATCHES,Hindustan Friends Elanthila won by 8 wickets,https://cricheroes.in/scorecard/2523972/Bandaru-Premier-League/J-J-Friends-Adenja-vs-Hindustan-Friends-Elanthila
Bandaru Premier League,Sahara Friends Padmunja,38/6,Jai Shree Ram Friends Club Aleki,39/5,Bandaru, Mangalore, 25-Dec-21, 5 Ov.,LEAGUE MATCHES,Jai Shree Ram Friends Club Aleki won by 5 wickets,https://cricheroes.in/scorecard/2523737/Bandaru-Premier-League/Sahara-Friends-Padmunja-vs-Jai-Shree-Ram-Friends-Club-Aleki
Bandaru Premier League,Panchajanya Panjala,26/10,BFC Panekallu Bandaru,27/1,Bandaru, Mangalore, 25-Dec-21, 5 Ov.,LEAGUE MATCHES,BFC Panekallu Bandaru won by 9 wickets,https://cricheroes.in/scorecard/2523734/Bandaru-Premier-League/Panchajanya-Panjala-vs-BFC-Panekallu-Bandaru
Bandaru Premier League,BFC Bandaru,30/4,J J Friends Adenja,31/2,Bandaru, Mangalore, 25-Dec-21, 5 Ov.,LEAGUE MATCHES,J J Friends Adenja won by 8 wickets,https://cricheroes.in/scorecard/2523730/Bandaru-Premier-League/BFC-Bandaru-vs-J-J-Friends-Adenja
Bandaru Premier League,Hindustan Friends Elanthila,62/5,K P P Friends Bajila,34/4,Bandaru, Mangalore, 25-Dec-21, 5 Ov.,LEAGUE MATCHES,Hindustan Friends Elanthila won by 28 runs,https://cricheroes.in/scorecard/2523727/Bandaru-Premier-League/Hindustan-Friends-Elanthila-vs-K-P-P-Friends-Bajila
Bandaru Premier League,BFC Panekallu Bandaru,29/9,Sahara Friends Padmunja,33/2,Bandaru, Mangalore, 25-Dec-21, 5 Ov.,LEAGUE MATCHES,Sahara Friends Padmunja won by 8 wickets,https://cricheroes.in/scorecard/2523526/Bandaru-Premier-League/BFC-Panekallu-Bandaru-vs-Sahara-Friends-Padmunja
Bandaru Premier League,Jai Shree Ram Friends Club Aleki,57/4,Panchajanya Panjala,24/9,Bandaru, Mangalore, 25-Dec-21, 5 Ov.,LEAGUE MATCHES,Jai Shree Ram Friends Club Aleki won by 33 runs,https://cricheroes.in/scorecard/2523523/Bandaru-Premier-League/Jai-Shree-Ram-Friends-Club-Aleki-vs-Panchajanya-Panjala
Bandaru Premier League,J J Friends Adenja,54/7,K P P Friends Bajila,20/8,Bandaru, Mangalore, 25-Dec-21, 5 Ov.,LEAGUE MATCHES,J J Friends Adenja won by 34 runs,https://cricheroes.in/scorecard/2523514/Bandaru-Premier-League/J-J-Friends-Adenja-vs-K-P-P-Friends-Bajila
Bandaru Premier League,Hindustan Friends Elanthila,63/1,BFC Bandaru,32/7,Bandaru, Mangalore, 25-Dec-21, 5 Ov.,LEAGUE MATCHES,Hindustan Friends Elanthila won by 31 runs,https://cricheroes.in/scorecard/2523535/Bandaru-Premier-League/Hindustan-Friends-Elanthila-vs-BFC-Bandaru
Jain Champions League-5,GOTHI SCORCHERS JCL-5,100/7,NAITIK FINSTRIKERS JCL-5,96/8,C. B. Patel Cricket Stadium, Surat, 26-Dec-21, 14 Ov.,FINAL,GOTHI SCORCHERS JCL-5 won by 4 runs,https://cricheroes.in/scorecard/2714104/Jain-Champions-League-5/GOTHI-SCORCHERS-JCL-5-vs-NAITIK-FINSTRIKERS-JCL-5
Jain Champions League-5,SURAT ROYAL QUEENS JCL-5,77/5,PRETTY QQUEENS JCL-5,78/5,C. B. Patel Cricket Stadium, Surat, 26-Dec-21, 12 Ov.,FINAL,PRETTY QQUEENS JCL-5 won by 5 wickets,https://cricheroes.in/scorecard/2712853/Jain-Champions-League-5/SURAT-ROYAL-QUEENS-JCL-5-vs-PRETTY-QQUEENS-JCL-5
Jain Champions League-5,NAITIK FINSTRIKERS JCL-5,151/10,DHELARIYA DAREDAVIL JCL-5,128/7,C. B. Patel Cricket Stadium, Surat, 26-Dec-21, 14 Ov.,SEMI FINAL,NAITIK FINSTRIKERS JCL-5 won by 23 runs,https://cricheroes.in/scorecard/2711586/Jain-Champions-League-5/NAITIK-FINSTRIKERS-JCL-5-vs-DHELARIYA-DAREDAVIL-JCL-5
Jain Champions League-5,GOTHI SCORCHERS JCL-5,146/8,WHITELION XI JCL-5,94/10,C. B. Patel Cricket Stadium, Surat, 26-Dec-21, 14 Ov.,SEMI FINAL,GOTHI SCORCHERS JCL-5 won by 52 runs,https://cricheroes.in/scorecard/2709470/Jain-Champions-League-5/GOTHI-SCORCHERS-JCL-5-vs-WHITELION-XI-JCL-5
Jain Champions League-5,TERRIFIC SMASHERS JCL-5,143/3,SUPER STRIKERS JCL-5,148/7,C. B. Patel Cricket Stadium, Surat, 26-Dec-21, 12 Ov.,LEAGUE MATCHES,SUPER STRIKERS JCL-5 won by 3 wickets,https://cricheroes.in/scorecard/2600001/Jain-Champions-League-5/TERRIFIC-SMASHERS-JCL-5-vs-SUPER-STRIKERS-JCL-5
Jain Champions League-5,JAINAM SMARTANS JCL-5,71/10,SURAT ROYAL QUEENS JCL-5,72/3,C. B. Patel Cricket Stadium, Surat, 26-Dec-21, 12 Ov.,LEAGUE MATCHES,SURAT ROYAL QUEENS JCL-5 won by 7 wickets,https://cricheroes.in/scorecard/2599998/Jain-Champions-League-5/JAINAM-SMARTANS-JCL-5-vs-SURAT-ROYAL-QUEENS-JCL-5
Jain Champions League-5,PRETTY QQUEENS JCL-5,110/5,FABULOUS 15 JCL-5,92/8,C. B. Patel Cricket Stadium, Surat, 26-Dec-21, 12 Ov.,LEAGUE MATCHES,PRETTY QQUEENS JCL-5 won by 18 runs,https://cricheroes.in/scorecard/2599995/Jain-Champions-League-5/PRETTY-QQUEENS-JCL-5-vs-FABULOUS-15-JCL-5
Jain Champions League-5,NAITIK FINSTRIKERS JCL-5,85/6,KHELGHAR KNIGHT RIDERS JCL-5,61/10,C. B. Patel Cricket Stadium, Surat, 25-Dec-21, 12 Ov.,QUALIFIER 2,NAITIK FINSTRIKERS JCL-5 won by 24 runs,https://cricheroes.in/scorecard/2701707/Jain-Champions-League-5/NAITIK-FINSTRIKERS-JCL-5-vs-KHELGHAR-KNIGHT-RIDERS-JCL-5
Jain Champions League-5,AMBER SAREES JCL-5,109/9,WHITELION XI JCL-5,113/3,C. B. Patel Cricket Stadium, Surat, 25-Dec-21, 12 Ov.,QUALIFIER 2,WHITELION XI JCL-5 won by 7 wickets,https://cricheroes.in/scorecard/2700867/Jain-Champions-League-5/AMBER-SAREES-JCL-5-vs-WHITELION-XI-JCL-5
Jain Champions League-5,DHELARIYA DAREDAVIL JCL-5,147/7,SHREE SAINATH STEEL JCL-5,101/10,C. B. Patel Cricket Stadium, Surat, 25-Dec-21, 12 Ov.,QUALIFIER 1,DHELARIYA DAREDAVIL JCL-5 won by 46 runs,https://cricheroes.in/scorecard/2700175/Jain-Champions-League-5/DHELARIYA-DAREDAVIL-JCL-5-vs-SHREE-SAINATH-STEEL-JCL-5
Jain Champions League-5,GOTHI SCORCHERS JCL-5,165/4,HUNGAMA CHAMPIONS JCL-5,138/8,C. B. Patel Cricket Stadium, Surat, 25-Dec-21, 12 Ov.,QUALIFIER 1,GOTHI SCORCHERS JCL-5 won by 27 runs,https://cricheroes.in/scorecard/2699179/Jain-Champions-League-5/GOTHI-SCORCHERS-JCL-5-vs-HUNGAMA-CHAMPIONS-JCL-5
